Cary Grant;Philadelphia Story, The; true
Cary Grant;Suspicion; true
Cary Grant;None But the Lonely Heart; true
Cary Grant;Awful Truth, The; true
Cate Bauer;One Hundred and One Dalmatians; true
Cate Blanchett;The Aviator; true
Cate Blanchett;Indiana Jones and the Kingdom of the Crystal Skull; true
Cate Blanchett;Lord of the Rings: The Fellowship of the Ring, The; true
Catherine Bell;Bruce Almighty; true
Catherine OHara;Home Alone 2: Lost in New York; true
Catherine Zeta-Jones;Chicago; true
Cathy Moriarty;Raging Bull; true
Cec Linder;Touch of Class, A; true
Cecelia Ann Birt;Oceans Eleven; true
Cecil Cunningham;Awful Truth, The; true
Cecil Kellaway;Harvey; true
Cecil Kellaway;Guess Whos Coming to Dinner; true
Cedric Hardwicke;Suspicion; true
Celeste Holm;Gentlemans Agreement; true
Celeste Holm;All About Eve; true
Celia Johnson;Prime of Miss Jean Brodie, The; true
Charles Buddy Rogers;Wings; true
Charles Bickford;Johnny Belinda; true
Charles Bickford;Song of Bernadette, The; true
Charles Bickford;Farmers Daughter, The; true
Charles Boyer;Gaslight; true
Charles Cioffi;Klute; true
Charles Coburn;More the Merrier, The; true
Charles Drake;Harvey; true
Charles Durning;Tootsie; true
Charles Durning;Sting, The; true
Charles Farrell;Seventh Heaven; true
Charles Fleischer;Who Framed Roger Rabbit; true
Charles King;Broadway Melody, The; true
Charles Laughton;Private Life of Henry VIII., The; true
Charles Laughton;Mutiny on the Bounty; true
Charles Laughton;Spartacus; true
Charles Martin Smith;Untouchables, The; true
Charles Napier;Rambo: First Blood Part II; true
Charley Grapewin;Captains Courageous; true
Charley Grapewin;Good Earth, The; true
Charley Grapewin;Grapes of Wrath, The; true
Charlie Sheen;Platoon; true
Charlie Sheen;Wall Street; true
Charlie Tahan;I Am Legend; true
Charlize Theron;Cider House Rules, The; true
Charlize Theron;Monster; true
Charlize Theron;Hancock; true
Charlton Heston;Big Country, The; true
Charlton Heston;Ben-Hur; true
Charlton Heston;Greatest Show on Earth, The; true
Cheech Marin;Cars; true
Cher;Moonstruck; true
Cherry Jones;Signs; true
Chip Taylor;Melvin and Howard; true
Chiwetel Ejiofor;2012; true
Chloe Sevigny;Boys Dont Cry; true
Chris Cooper;Adaptation.; true
Chris Elliott;Theres Something About Mary; true
Chris Evans;Fantastic Four; true
Chris Evans;The Avengers; true
Chris Evans;Captain America: The First Avenger; true
Chris Haywood;Shine; true
Chris Hemsworth;Thor; true
Chris Hemsworth;The Avengers; true
Chris Klein;American Pie 2; true
Chris Noth;Sex and the City; true
Chris ODonnell;Scent of a Woman; true
Chris ODonnell;Batman Forever; true
Chris Pine;Star Trek; true
Chris Rock;Madagascar: Escape 2 Africa; true
Chris Rock;Madagascar 3: Europes Most Wanted; true
Chris Rock;Grown Ups; true
Chris Rock;Madagascar; true
Chris Rock;The Longest Yard; true
